Division,Dept,INS1,INS2,INS3,INS4,INS5,INS6,ARTSC1,ARTSC2,ARTSC3,APSC001,APSC002,APSC003,APSC004,APSC005,APSC006,APSC007,APSC008,Course Workload,I would recommend this course,I attended class,Inspired to learn subject matter,UTSC1,UTSC2,UTSC3
ARTSC,CSC,4.053472470266367,4.151755519246115,4.08734886195235,4.062531443553596,4.008518828133906,3.7625892008967585,3.8696884143329404,3.6100296386366226,3.7940384542311056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,CSUS,4.347014925373134,4.4082767978290365,4.471641791044776,4.140298507462687,4.225644504748983,4.168249660786974,3.925915875169607,3.309497964721845,4.206648575305292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,DRAMA,4.108630328441649,4.230083857442348,4.194164919636618,4.02941998602376,4.149965059399022,3.924318658280922,3.8627183787561146,3.185220125786164,4.049056603773585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,DTS,4.361339139902014,4.390255851932499,4.481219379422972,4.22487751769189,4.299346761023408,4.214697876973326,3.935928143712575,3.0785519869352207,4.274197060424605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,EAS,4.18339755940912,4.317125883108543,4.253691393705845,4.158623956326268,4.191563904945408,4.035036929993577,3.944258188824663,3.422951188182402,3.949959858702633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,ECO,3.9044750696810158,4.0016119541653765,3.8481162898730257,3.733945881077733,3.729098598637349,3.5213345850108393,3.5629608624961286,3.495025549705791,3.4922532130690613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,EEB,3.7967774355649215,4.01673974712271,4.05497791376236,3.591436213324688,3.5867928351434593,3.516636002593613,3.6824841951693954,3.26605527638191,3.6143467336683415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,ENG,4.1239662144287825,4.231240693851328,4.2810763009712405,4.053362306791127,4.158140659839008,3.9793771966290015,3.738724160084653,3.2074630588413133,3.9976690223347564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,ENT,3.768172484599589,3.9291581108829567,3.8856262833675568,3.8942505133470227,3.957905544147844,3.8008213552361396,4.030595482546201,3.0170431211498974,3.9127310061601643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,ENVMT,3.768667585969146,3.9269413082823412,3.9788554684133413,3.740846332844954,3.7819374299750064,3.604815995863139,3.9173817116263034,3.1118607256743944,3.7206636214772044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTSC,ES,3.5499679404975635,3.7896588868940753,3.7727417286483713,3.6536214413952295,3.688427802000513,3.433011028468838,3.6233854834572967,3.122852013336753,3.532823800974609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
